"Response ID","Response started","Response completed","IP address","Gender"," You receive ₹100."," You receive ₹100."," You receive ₹100."," You receive ₹100.","  You receive ₹500.","  You receive ₹500.","  You receive ₹500.","  You receive ₹500.","   You receive ₹1000.","   You receive ₹1000.","   You receive ₹1000.","   You receive ₹1000.","  You receive ₹2000.","  You receive ₹2000.","  You receive ₹2000.","  You receive ₹2000."
"WhDwPbrU","Nov 23, 2022 05:32:35 PM","Nov 23, 2022 05:34:06 PM","167.71.237.204","Male","Image-2","Image-2","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-1","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1"
"1oC53BPW","Nov 23, 2022 05:47:00 PM","Nov 23, 2022 05:48:13 PM","218.185.248.66","Male","Image-2","Image-2","Image-2","Image-2","Image-1","Image-1","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1"
"9JDkvnjh","Nov 23, 2022 05:47:02 PM","Nov 23, 2022 05:48:41 PM","218.185.248.66","Male","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1"
"Z6C0K63W","Nov 23, 2022 06:04:22 PM","Nov 23, 2022 06:05:20 PM","14.139.82.6","Male","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2","Image-2"
"MyC57hfK","Nov 23, 2022 06:17:08 PM","Nov 23, 2022 06:18:47 PM","218.185.248.66","Male","Image-2","Image-2","Image-2","Image-1","Image-1","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1"
"qvDwmQzO","Nov 23, 2022 06:21:44 PM","Nov 23, 2022 06:23:11 PM","218.185.248.66","Male","Image-2","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1"
"j3Dwn9Ni","Nov 23, 2022 06:26:10 PM","Nov 23, 2022 06:27:31 PM","218.185.248.66","Male","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-2","Image-1"
"2mDwwwjH","Nov 23, 2022 06:30:39 PM","Nov 23, 2022 06:32:33 PM","218.185.248.66","Male","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-1","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1"
"IpDw30cl","Nov 23, 2022 06:47:15 PM","Nov 23, 2022 06:48:47 PM","167.71.237.204","Male","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1"
"seDwYnij","Nov 23, 2022 06:49:05 PM","Nov 23, 2022 06:50:31 PM","167.71.237.204","Male","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1"
"vpDwQk88","Nov 24, 2022 10:27:42 PM","Nov 24, 2022 10:29:07 PM","14.139.82.6","Female","Image-2","Image-2","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1"
"p9DmJQ53","Nov 24, 2022 10:36:50 PM","Nov 24, 2022 10:38:40 PM","14.139.82.6","Female","Image-2","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1","Image-1"
"ZMC06a4c","Nov 25, 2022 12:20:39 AM","Nov 25, 2022 12:22:12 AM","14.139.82.6","Female","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1"
"CiDw0NSv","Nov 25, 2022 12:25:10 AM","Nov 25, 2022 12:26:33 AM","14.139.82.6","Female","Image-2","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1"
"NXDwWumq","Nov 25, 2022 12:29:50 AM","Nov 25, 2022 12:31:17 AM","14.139.82.6","Female","Image-2","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1"
"jaDwFwzd","Nov 25, 2022 12:36:11 AM","Nov 25, 2022 12:38:00 AM","14.139.82.6","Female","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1"
"24C0Ka8X","Nov 25, 2022 11:28:03 PM","Nov 25, 2022 11:29:20 PM","218.185.248.66","Female","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1"
"3BC58yUm","Nov 25, 2022 11:31:44 PM","Nov 25, 2022 11:33:29 PM","218.185.248.66","Female","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1"
"aEDwzuvX","Nov 25, 2022 11:36:56 PM","Nov 25, 2022 11:38:43 PM","218.185.248.66","Female","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-2","Image-1","Image-2","Image-2","Image-1","Image-1"
"OXDwaoSu","Nov 25, 2022 11:41:46 PM","Nov 25, 2022 11:42:25 PM","218.185.248.66","Female","Image-2","Image-2","Image-1","Image-1","Image-2","Image-2","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1","Image-2","Image-1","Image-1","Image-1"